popularity,title,genres,release_year,budget,revenue,Is_Novel,production_companies
32.985763,Jurassic World,Action,2015,137999939.280027,1392445892.52381,No,Universal Pictures
32.985763,Jurassic World,Adventure,2015,137999939.280027,1392445892.52381,No,Universal Pictures
32.985763,Jurassic World,Science Fiction,2015,137999939.280027,1392445892.52381,No,Universal Pictures
32.985763,Jurassic World,Thriller,2015,137999939.280027,1392445892.52381,No,Universal Pictures
28.419936,Mad Max: Fury Road,Action,2015,137999939.280027,348161292.489031,No,Village Roadshow Pictures|Kennedy Miller Productions
28.419936,Mad Max: Fury Road,Adventure,2015,137999939.280027,348161292.489031,No,Village Roadshow Pictures|Kennedy Miller Productions
28.419936,Mad Max: Fury Road,Science Fiction,2015,137999939.280027,348161292.489031,No,Village Roadshow Pictures|Kennedy Miller Productions
28.419936,Mad Max: Fury Road,Thriller,2015,137999939.280027,348161292.489031,No,Village Roadshow Pictures|Kennedy Miller Productions
13.112507,Insurgent,Adventure,2015,101199955.47202,271619025.407629,Yes,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel
13.112507,Insurgent,Science Fiction,2015,101199955.47202,271619025.407629,Yes,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel
13.112507,Insurgent,Thriller,2015,101199955.47202,271619025.407629,Yes,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel
11.173104,Star Wars: The Force Awakens,Action,2015,183999919.040036,1902723129.80182,No,Lucasfilm|Truenorth Productions|Bad Robot
11.173104,Star Wars: The Force Awakens,Adventure,2015,183999919.040036,1902723129.80182,No,Lucasfilm|Truenorth Productions|Bad Robot
11.173104,Star Wars: The Force Awakens,Science Fiction,2015,183999919.040036,1902723129.80182,No,Lucasfilm|Truenorth Productions|Bad Robot
11.173104,Star Wars: The Force Awakens,Fantasy,2015,183999919.040036,1902723129.80182,No,Lucasfilm|Truenorth Productions|Bad Robot
9.335014,Furious 7,Action,2015,174799923.088034,1385748801.47053,No,Universal Pictures
9.335014,Furious 7,Crime,2015,174799923.088034,1385748801.47053,No,Universal Pictures
